model,rmse,mae,r2,cv_rmse,trained_on_log_price
voting_ensemble,4602.1593470580065,2695.834903611749,0.9230966332070616,0.1941655226384468,True
svr_rbf,4816.444709258896,2729.413436548832,0.9157683693897568,0.2028494990832845,True
extra_trees,4991.756041960734,2967.4101308126506,0.909524966122072,0.21331774125313566,True
gradient_boosting,5093.278446330657,3215.953491612595,0.9058073774831467,0.21728496581191967,True
random_forest,5292.423494296528,3175.312398501168,0.8982975939987257,0.22592261694469637,True
knn_distance,5660.184928467367,3319.933598500751,0.8836722599174371,0.23632529980657324,True
ridge,5774.391249638826,2924.7452851827397,0.8789305796701615,0.2027812257204781,True
